data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 02:20:00,2025-09-01 02:30:00,140,IM2,security,3.0,2.21,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:30:00,2025-09-01 02:40:00,150,IM1,security,13.0,2.98,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:30:00,2025-09-01 02:40:00,150,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:40:00,2025-09-01 02:50:00,160,IM1,security,14.149999999999999,3.07,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:40:00,2025-09-01 02:50:00,160,IM2,security,4.0,2.28,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:50:00,2025-09-01 03:00:00,170,IM1,security,16.0,3.23,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 02:50:00,2025-09-01 03:00:00,170,IM2,security,4.149999999999999,2.29,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:00:00,2025-09-01 03:10:00,180,IM1,security,15.149999999999999,3.16,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:00:00,2025-09-01 03:10:00,180,IM2,security,4.0,2.28,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:10:00,2025-09-01 03:20:00,190,IM1,security,13.0,2.98,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:10:00,2025-09-01 03:20:00,190,IM2,security,4.0,2.28,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:20:00,2025-09-01 03:30:00,200,IM1,security,10.149999999999999,2.75,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:20:00,2025-09-01 03:30:00,200,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:30:00,2025-09-01 03:40:00,210,IM1,security,12.0,2.9,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:30:00,2025-09-01 03:40:00,210,IM2,security,8.149999999999999,2.59,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:40:00,2025-09-01 03:50:00,220,IM1,security,14.149999999999999,3.07,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:40:00,2025-09-01 03:50:00,220,IM2,security,8.0,2.58,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:50:00,2025-09-01 04:00:00,230,IM1,security,13.0,2.98,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 03:50:00,2025-09-01 04:00:00,230,IM2,security,6.149999999999999,2.44,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:00:00,2025-09-01 04:10:00,240,IM1,security,15.149999999999999,3.16,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:00:00,2025-09-01 04:10:00,240,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:10:00,2025-09-01 04:20:00,250,IM1,security,14.0,3.06,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:10:00,2025-09-01 04:20:00,250,IM2,security,11.0,2.82,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:20:00,2025-09-01 04:30:00,260,IM1,security,18.0,3.4,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:20:00,2025-09-01 04:30:00,260,IM2,security,11.149999999999999,2.83,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:30:00,2025-09-01 04:40:00,270,IM1,security,26.299999999999997,4.18,2,실측 10분 85% 분위값,10,IM1,5,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:30:00,2025-09-01 04:40:00,270,IM2,security,13.0,2.98,1,실측 10분 85% 분위값,10,IM2,3,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:40:00,2025-09-01 04:50:00,280,IM1,security,31.0,4.66,2,실측 10분 85% 분위값,10,IM1,6,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:40:00,2025-09-01 04:50:00,280,IM2,security,14.0,3.06,1,실측 10분 85% 분위값,10,IM2,3,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:50:00,2025-09-01 05:00:00,290,IM1,security,46.3,6.45,3,실측 10분 85% 분위값,10,IM1,8,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 04:50:00,2025-09-01 05:00:00,290,IM2,security,17.15,3.33,1,실측 10분 85% 분위값,10,IM2,3,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:00:00,2025-09-01 05:10:00,300,IM1,security,57.15,7.97,3,실측 10분 85% 분위값,10,IM1,10,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:00:00,2025-09-01 05:10:00,300,IM2,security,19.15,3.51,1,실측 10분 85% 분위값,10,IM2,4,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:10:00,2025-09-01 05:20:00,310,IM1,security,64.0,9.05,3,실측 10분 85% 분위값,10,IM1,11,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
